+-----+-----------------------------------------------------------------------------------------------------+
|topic|topic_words                                                                                          |
|42   |voluntary, present, anyone, presence, innana, proof, dust, depth, danger, concludes                  |
|43   |rope, barrel, written, world, iron, yishmael, pass, rabbi, shall, torah                              |
|44   |created, preferable, ultimately, man, light, would, behind, years, seek, examine                     |
|45   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                   |
|46   |sharp, function, iyya, table, amoraic, manner, entrances, preferable, tenth, averim                  |
|47   |egg, bulks, se, alla, little, amount, add, overturned, dough, amounts                                |
|48   |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                            |
|49   |vineyard, mention, sow, causes, remembrance, moon, fence, area, cubits, perimeter                    |
|50   |principles, adasha, balconies, excluded, upper, lower, section, posed, city, erected                 |
|51   |ordinary, weekday, festival, basket, laid, day, today, died, days, egg                               |
|52   |spot, indeed, untithed, writing, annul, completed, dining, creature, forgot, mnemonic                |
|53   |leaving, limbs, donning, throwing, position, press, short, stable, useful, merchants                 |
|54   |money, tithe, designated, consecrated, second, loaves, bought, buy, tenth, naziriteship              |
|55   |excludes, birth, 5, someone, overlap, thirteen, mentioned, eats, hand, versions                      |
|56   |inquires, people, wonders, claim, gone, structures, purification, 26, definition, serves             |
|57   |ak, yitz, meals, mouth, fig, food, spittle, eighteen, measure, dried                                 |
|58   |outskirts, perida, ways, water, proximity, riding, weekdays, wound, severed, despite                 |
|59   |violates, phrase, difficulty, statement, determine, becomes, requiring, neighbor, embankment, waiting|
|60   |canyon, ditch, akiva, sealed, flask, measurement, cup, reached, measuring, contents                  |
|61   |feet, grown, vineyard, gap, 19, yes, upward, levite, subsequent, entering                            |
|62   |stating, open, kahana, teach, replied, yosef, courtyards, entrances, another, five                   |
|63   |courtyard, eiruv, rights, prohibited, residents, domain, carrying, establish, carry, rabbi           |
|64   |gentiles, sake, evil, forcibly, absence, makes, mar, mattana, took, completes                        |
|65   |asked, classified, corresponding, involving, innana, establish, ledge, renounces, ana, facing        |
|66   |consume, specifically, spit, moved, apparent, perform, curved, immerse, passover, object             |
|67   |establishing, guarded, inconvenient, sela, across, convert, refuted, amora, appoint, provided        |
|68   |karmelit, double, posts, drink, samuel, nazirite, david, border, holes, ila                          |
|69   |handbreadths, wall, three, four, window, ladder, wide, less, ten, opening                            |
|70   |day, eiruv, second, direction, eve, feet, festival, jug, first, fleece                               |
|71   |imposed, turned, violation, nazirite, wide, netherworld, made, disagrees, measurements, worthy       |
|72   |human, oza, ab, initio, people, brought, knowingly, empty, served, relates                           |
|73   |caravan, larger, clouds, smaller, examines, seeds, formed, ocean, festival, discussion               |
|74   |punished, drank, donkey, umei, separation, opinion, palm, branches, depositing, lavud                |
|75   |liable, teachers, gate, collect, demonstrated, form, present, retracted, indication, fulfill         |
|76   |prayer, moon, blessing, additional, new, sanctity, blessings, service, including, passage            |
|77   |engage, sea, ye, shield, become, impose, maintains, rams, healthy, authorities                       |
|78   |beloved, threshing, inlet, picked, level, dealt, surveyors, protect, washing, usual                  |
|79   |fifty, scroll, long, action, perform, rabbinic, neither, cubits, decree, transgress                  |
|80   |food, half, joining, confer, possession, eiruv, behalf, law, boundaries, others                      |
|81   |balcony, water, upper, residents, use, convenient, lower, log, lowering, mound                       |
|82   |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred               |
|83   |violated, glutton, window, waits, climbing, missing, transgressed, incorrect, dispel, bearing        |
|84   |diagonal, aside, ashi, reason, purify, us, divorced, rests, consequently, taddai                     |
|85   |render, purify, interpose, de, advance, creature, argued, surround, poses, herbs                     |
|86   |bat, didn, superfluous, due, israelite, meals, male, affairs, wash, kind                             |
|87   |simultaneously, avimi, raising, bed, ascend, let, bandage, evidently, ma, stone                      |
|88   |cave, ananya, akavya, life, hole, four, ben, put, balcony, constitute                                |
|89   |ana, laborer, voluntary, purchased, said, spot, running, avdimi, perform, lead                       |
|90   |sukka, term, roofing, sun, twenty, thin, shade, children, pain, wind                                 |
|91   |yom, descents, sound, respects, custom, halakhot, judges, level, say, israelite                      |
|92   |honey, running, conditions, pulling, mat, practices, season, although, sends, passover               |
|93   |nevertheless, term, roots, terminated, conclude, third, dodder, metal, loaf, fruits                  |
|94   |clause, wine, latter, vessels, oil, first, speaks, partnership, deals, unit                          |
|95   |ruin, oshaya, domains, infer, returning, week, owner, returned, stealing, distinguished              |
|96   |writing, apostate, sota, idolatry, suspected, transgressing, pouring, torah, desecrates, voluntary   |
|97   |ana, border, resides, established, plant, differentiate, broken, sturdy, aretz, resolution           |
|98   |lived, sandal, jew, male, female, imparted, impurity, fully, spend, excludes                         |
|99   |climbed, evidently, provides, served, showed, exilarch, quantity, explanations, recited, draw        |
|100  |scroll, boat, ground, back, alleyway, levi, river, earth, offspring, idi                             |
|101  |anin, eaten, barrier, inhabitants, party, rabbi, producing, indicates, zakkai, listed                |
|102  |goes, idi, exist, terms, truth, drinking, allowance, usage, showed, tent                             |
|103  |straw, continued, ladder, serves, rungs, nullify, sole, narrow, combined, climb                      |
|104  |woman, women, divorce, husband, covering, scroll, hagelili, write, majority, bill                    |
|105  |outer, inner, bread, courtyard, contribute, forgot, deposited, members, eiruv, residents             |
|106  |rent, rental, peruta, gentile, tenant, value, lakish, reish, landlord, renting                       |
|107  |testified, mean, alongside, man, served, relative, deposits, explained, handed, ownership            |
|108  |rooms, joshua, childless, neglect, convert, punished, angel, comprised, consists, commandment        |
|109  |karpef, seventy, cities, areas, city, adjacent, remainder, two, cubits, spoke                        |
|110  |absorbed, relied, shammai, issue, rosh, party, intention, lamb, spend, pin                           |
|111  |heap, refuse, paths, roofs, belonging, owners, private, distinguish, failure, novelty                |
|112  |teacher, presence, surprise, expresses, punished, parasangs, much, distance, surprised, disciple     |
|113  |beit, se, kor, matters, area, tenth, asi, diaspora, size, binding                                    |
|114  |distinguish, latter, de, silent, master, mourning, lacks, apparently, sprinkle, ask                  |
|115  |zeira, upright, accepted, resolves, boards, adda, board, side, avimi, amount                         |
|116  |ika, intentionally, testimony, covered, ones, bestows, preferable, verse, kings, shed                |
|117  |detached, bandage, dump, wound, garbage, fell, onto, phlegm, clean, downward                         |
|118  |measure, dark, sides, chamber, equinox, troubles, bandage, permitted, dons, yirmeya                  |
|119  |3, renounced, party, laid, nature, rami, encamped, next, essential, egypt                            |
|120  |identical, terms, derive, unwitting, verbal, analogy, pronounced, exodus, appoint, 21                |
|121  |indeed, concludes, rock, decree, correct, rabbinic, elijah, shabbat, learn, messiah                  |
|122  |nine, draped, directions, sukka, gathered, hat, disputed, except, laborer, context                   |
|123  |baked, making, possession, forcibly, offspring, radius, idolatrous, torah, assumed, accomplished     |
|124  |lacking, objections, nullified, subsequent, roofs, advance, sandal, negative, sake, symbolic         |
|125  |unwittingly, erected, intentionally, ravin, dilemma, dried, whether, willingly, resolved, came       |
|126  |teruma, produce, tithe, demai, tithes, feed, redeemed, priest, drink, poor                           |
|127  |alleyways, rav, merging, alleyway, im, isda, entrance, huna, said, amora                             |
|128  |sole, ladders, alleyway, exit, divine, baths, thick, shadow, fall, fortiori                          |
|129  |divide, larger, formulation, manner, masters, recognizable, prohibit, element, intervene, finds      |
|130  |portico, bow, hour, knot, string, fire, hours, tie, roof, tying                                      |
|131  |corpse, hay, impurity, nullified, grave, house, ritual, decided, leave, ditch                        |
|132  |enclosure, dark, traveling, grew, trunk, roof, enclosures, farther, move, conspicuous                |
|133  |halakhic, present, brought, access, gave, giddel, permits, rain, fabric, eretz                       |
|134  |burnt, improperly, tevel, twenty, baker, convert, ruled, fowl, choice, sum                           |
|135  |commit, transgression, lamb, group, paschal, safra, joined, failure, careful, attention              |
|136  |beit, hillel, shammai, side, requires, post, posts, cross, beam, either                              |
|137  |phylacteries, middle, pair, mitzva, time, outer, corner, arm, donning, intent                        |
|138  |fixed, roof, basis, strongly, heavy, ladder, refuted, place, temporary, use                          |
|139  |liable, stories, surveyors, uninhabited, stealing, produce, preceded, shimi, handle, tarfon          |
|140  |orchard, alludes, drawing, zuz, worn, center, student, descents, planted, lifetime                   |
|141  |weekdays, burial, opened, fear, rises, place, hillel, names, visible, dodder                         |
|142  |useful, pillars, middle, came, draw, overturned, fourth, hundred, imparts, governing                 |
|143  |pick, imparts, masters, young, requisite, pull, creates, halakhot, airspace, diminish                |
|144  |lacks, israelite, job, utilizing, forbidden, seller, express, height, grave, sprinkling              |
|145  |attribute, unlike, flesh, blood, blessed, holy, see, come, micah, harmful                            |
|146  |transgressed, require, ways, fulfilling, complete, appoint, clarify, concludes, paid, validity       |
|147  |creeping, removal, cursed, animals, impurity, carcass, animal, neighbors, radish, beneficial         |
|148  |ascend, atop, eat, threshold, picks, fruit, wall, puts, remember, action                             |
|149  |ark, performing, structures, connected, appoint, permitting, eight, head, exclude, accept            |
|150  |leather, remnants, flask, consider, teruma, concerned, tevel, wine, recognizable, separating         |
|151  |measuring, left, unto, vertical, negate, narrower, changed, ship, judea, easily                      |
|152  |nation, ascents, sends, three, kav, cooking, resident, dirt, explicitly, unlike                      |
|153  |measuring, lead, permissible, isn, resolves, leniency, minimal, long, length, rendered               |
|154  |master, partition, tent, greater, breached, hear, wife, standing, rav, gehenna                       |
|155  |quickly, item, fallen, implication, resolved, wooden, feed, divide, akov, money                      |
|156  |moses, aaron, lesson, elders, heard, sons, possession, times, entered, property                      |
|157  |domain, partition, public, ten, area, handbreadths, private, water, partitions, strong               |
|158  |attention, radish, account, acquires, pours, eiruvin, comprised, huts, dead, worth                   |
|159  |writing, alive, e, aligned, jointly, determining, picked, use, holding, reduces                      |
|160  |event, vacant, arch, dies, implies, cattle, bath, eighth, pass, mari                                 |
|161  |large, small, courtyard, apart, utensil, finger, governing, dimi, breach, poles                      |
|162  |zakkai, closed, handle, surrounding, unless, transgression, fall, thirds, hill, wool                 |
|163  |camel, wells, cattle, driver, neck, heker, idea, animal, baraitot, festival                          |
|164  |ana, sixth, option, uses, rolls, say, remedy, consent, talmud, dry                                   |
|165  |kav, rabbi, ya, ben, figs, akov, yosef, rav, according, said                                         |
|166  |segment, standing, board, greater, breached, pappa, gap, equal, boards, equals                       |
|167  |day, new, days, town, rosh, hashana, sea, first, directions, two                                     |
|168  |dust, wasn, independent, suffice, forget, time, collected, homeowner, cupboard, disagree             |
|169  |blessing, fruits, nourishment, fruit, green, recite, things, grain, dodder, derives                  |
|170  |conjugal, conditions, micah, holes, daughter, happened, direction, run, hard, relation               |
|171  |thorn, prevent, sanctity, fingers, impure, location, million, offers, holding, hinges                |
|172  |ledge, merging, extend, alleyway, gatehouse, draw, sound, water, erect, protrudes                    |
|173  |rises, natan, neglected, attempts, sat, continued, whether, great, category, entirety                |
|174  |ever, reference, element, jonah, encamped, apostate, employing, divides, either, forty               |
|175  |selah, minimal, desire, heart, forever, bread, eat, ezekiel, written, request                        |
|176  |zav, suitable, riding, moved, upon, impure, general, sits, object, front                             |
|177  |sleep, avin, eats, sleeps, implies, factor, witnesses, determining, field, deposits                  |
|178  |ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept              |
|179  |blood, command, rescue, requisite, arises, pertaining, lowering, old, restored, tree                 |
|180  |hand, offering, cut, fringes, israel, called, leviticus, marketplace, short, cloak                   |
|181  |knowledge, torah, study, endure, created, proverbs, written, eve, meaning, genesis                   |
|182  |flour, sanctified, phlegm, difficult, needle, king, proper, ivut, relish, turns                      |
|183  |participation, return, lack, jew, prohibit, already, others, says, home, carry                       |
|184  |wealthy, pauper, bread, location, going, residence, hands, absorbed, person, men                     |
|185  |set, grass, aside, prohibition, negative, haystack, summer, rainy, animal, baraitot                  |
|186  |renounce, 27, teach, owners, examined, owned, umei, positioned, allow, 207                           |
|187  |item, shaped, l, crooked, dead, disqualifies, uncertainty, practice, certainty, touched              |
|188  |became, instructed, access, minimum, identical, spirit, version, incomplete, drinking, mentioned     |
|189  |met, restoring, ritually, impose, moreover, valid, contain, rent, asking, school                     |
|190  |tree, bolt, door, ground, suspended, climb, tied, temple, country, dry                               |
|191  |kahana, eretz, yisrael, priest, ta, alifa, become, diagonally, cemetery, name                        |
|192  |third, wilderness, se, tzippori, bulks, egg, sixty, measures, wrapped, plant                         |
|193  |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                      |
|194  |nonetheless, absence, alone, knot, punished, opposite, span, shaped, avimi, scatters                 |
|195  |custom, thousand, reduction, sick, statement, period, comments, shepherds, respect, hours            |
|196  |rectification, rulings, obligated, practical, twice, stringent, pappa, giddel, based, opposed        |
|197  |renounce, returning, kind, demonstrates, lenient, taught, issue, contrast, measurement, alongside    |
|198  |referred, touched, young, earthenware, unless, brothers, wider, inclination, involve, deliver        |
|199  |path, field, handbreadth, brick, small, beam, sturdy, enough, young, cross                           |
+-----+-----------------------------------------------------------------------------------------------------+

+-----------------------------+-----+-------------------------------+--------------------------------------------------------------------------------------------------+
|id                           |topic|topics                         |topic_words                                                                                       |
+-----------------------------+-----+-------------------------------+--------------------------------------------------------------------------------------------------+
|eruvim-merged.txt-001a-0000  |-1   |199:0.0%, 198:0.0%, 197:0.0%   |null                                                                                              |
|eruvim-merged.txt-001b-0000  |-1   |199:0.0%, 198:0.0%, 197:0.0%   |null                                                                                              |
|eruvim-merged.txt-002a-0000  |63   |63:34.8%, 48:27.0%, 157:21.1%  |courtyard, eiruv, rights, prohibited, residents, domain, carrying, establish, carry, rabbi        |
|eruvim-merged.txt-002a-0001  |48   |48:41.5%, 63:20.8%, 157:14.0%  |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002a-0002  |48   |48:58.7%, 193:27.5%, 63:7.1%   |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002a-0003  |193  |193:55.3%, 48:35.9%, 60:7.8%   |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002a-0004  |193  |193:83.9%, 48:14.8%, 63:0.0%   |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002a-0005  |193  |193:97.6%, 63:0.0%, 157:0.0%   |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002a-0006  |193  |193:53.8%, 157:20.9%, 16:18.1% |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002a-0007  |193  |193:31.2%, 157:24.8%, 90:16.4% |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002a-0008  |178  |178:27.9%, 157:18.5%, 193:17.6%|ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept           |
|eruvim-merged.txt-002a-0009  |178  |178:59.3%, 90:12.6%, 48:10.3%  |ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept           |
|eruvim-merged.txt-002a-0010  |178  |178:85.5%, 48:9.2%, 193:2.9%   |ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept           |
|eruvim-merged.txt-002a-0011  |178  |178:72.0%, 48:6.4%, 79:5.5%    |ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept           |
|eruvim-merged.txt-002a-0012  |178  |178:26.5%, 90:17.4%, 113:16.1% |ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept           |
|eruvim-merged.txt-002a-0013  |90   |90:39.9%, 113:19.4%, 57:11.6%  |sukka, term, roofing, sun, twenty, thin, shade, children, pain, wind                              |
|eruvim-merged.txt-002a-0014  |90   |90:23.8%, 113:18.5%, 178:16.2% |sukka, term, roofing, sun, twenty, thin, shade, children, pain, wind                              |
|eruvim-merged.txt-002a-0015  |178  |178:21.8%, 57:16.2%, 63:11.3%  |ha, retroactive, designation, aretz, agent, aver, fulfills, agency, presumption, accept           |
|eruvim-merged.txt-002a-0016  |193  |193:32.7%, 45:28.5%, 178:12.5% |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002a-0017  |45   |45:52.6%, 193:42.9%, 105:3.5%  |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0018  |45   |45:59.2%, 193:33.1%, 48:4.4%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0019  |45   |45:57.7%, 193:34.1%, 48:7.2%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0020  |45   |45:57.5%, 180:25.4%, 48:9.6%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0021  |45   |45:63.1%, 180:27.5%, 156:7.1%  |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0022  |45   |45:61.3%, 180:29.9%, 156:6.6%  |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0023  |45   |45:71.6%, 76:12.9%, 88:10.0%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0024  |45   |45:84.7%, 94:6.0%, 88:4.6%     |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0025  |45   |45:78.7%, 90:5.1%, 82:4.6%     |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0026  |45   |45:70.3%, 193:7.3%, 94:5.9%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0027  |45   |45:49.9%, 157:16.6%, 193:11.6% |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0028  |45   |45:59.7%, 157:13.0%, 73:7.5%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0029  |45   |45:67.6%, 19:10.2%, 157:6.6%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0030  |45   |45:87.9%, 19:11.1%, 63:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0031  |45   |45:99.3%, 63:0.0%, 157:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0032  |45   |45:95.0%, 181:4.1%, 63:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0033  |45   |45:99.1%, 63:0.0%, 157:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0034  |45   |45:98.6%, 63:0.0%, 157:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0035  |45   |45:98.7%, 63:0.0%, 157:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0036  |45   |45:82.5%, 192:6.0%, 82:5.3%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0037  |45   |45:82.5%, 192:6.0%, 82:5.3%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0038  |45   |45:61.0%, 82:27.3%, 192:6.8%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0039  |45   |45:74.4%, 82:24.9%, 63:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0040  |45   |45:81.8%, 82:17.6%, 63:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0041  |45   |45:83.6%, 82:15.8%, 63:0.0%    |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0042  |45   |45:58.2%, 82:33.6%, 180:6.3%   |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0043  |82   |82:47.6%, 45:41.3%, 180:8.4%   |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred            |
|eruvim-merged.txt-002a-0044  |82   |82:35.3%, 154:23.3%, 45:23.1%  |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred            |
|eruvim-merged.txt-002a-0045  |45   |45:27.3%, 154:17.2%, 43:15.0%  |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002a-0046  |45   |45:26.6%, 154:16.0%, 43:15.5%  |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002b-0000  |82   |82:59.5%, 45:16.6%, 63:9.2%    |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred            |
|eruvim-merged.txt-002b-0001  |82   |82:53.8%, 45:22.0%, 63:12.8%   |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred            |
|eruvim-merged.txt-002b-0002  |82   |82:71.8%, 45:14.6%, 165:7.3%   |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred            |
|eruvim-merged.txt-002b-0003  |82   |82:45.3%, 48:32.4%, 193:9.0%   |tabernacle, garden, breadth, thirds, exceed, fifty, referred, matters, cubits, hundred            |
|eruvim-merged.txt-002b-0004  |48   |48:42.7%, 16:30.8%, 82:21.0%   |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0005  |48   |48:60.3%, 16:18.9%, 82:7.2%    |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0006  |48   |48:49.6%, 193:12.8%, 82:10.6%  |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0007  |48   |48:30.6%, 193:28.9%, 82:14.7%  |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0008  |45   |45:31.3%, 193:22.6%, 48:15.0%  |sanctuary, derived, temple, doorway, entrance, hall, altar, inlet, structure, ramp                |
|eruvim-merged.txt-002b-0009  |48   |48:39.7%, 45:34.7%, 180:11.1%  |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0010  |48   |48:46.8%, 45:19.4%, 193:12.0%  |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0011  |48   |48:63.9%, 45:11.4%, 19:8.5%    |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0012  |48   |48:55.5%, 45:25.4%, 19:4.6%    |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0013  |48   |48:34.1%, 45:30.6%, 193:22.6%  |cross, beam, post, alleyway, side, cubits, tree, beneath, hundred, twenty                         |
|eruvim-merged.txt-002b-0014  |193  |193:50.6%, 45:29.4%, 165:7.1%  |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002b-0015  |193  |193:73.7%, 165:10.7%, 45:8.5%  |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002b-0016  |193  |193:70.5%, 165:16.2%, 49:5.5%  |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002b-0017  |193  |193:76.3%, 157:22.5%, 63:0.0%  |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
|eruvim-merged.txt-002b-0018  |193  |193:64.6%, 157:34.0%, 63:0.0%  |form, doorway, diminish, opening, entrance, width, alleyway, wider, cubits, ten                   |
